model,dimension_mode,L,coupling_id,observable,mean,stderr,tau_int,seed,formal_n,n_eff,transverse_weight,t_axis_weight,projection_ratio,proxy_kind,mass_like,lambda_like,schedule_mode,schedule_source,update_kernel,proposal_scale_final,metro_hits,measure_stride,site_order
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.000,magnetization_abs,1.4559603839,0.0044120097,0.5000000000,5099,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.000,acceptance_rate,0.5209733073,0.0011329717,0.5000000000,5099,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.679958,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.000,binder,0.6645860253,0.0002327285,0.6529146336,5361,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.000,xi_over_L,0.0605649343,0.0338519065,0.6529146336,5361,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.000,susceptibility,0.3317201909,0.0357575467,0.6529146336,5361,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.000,structure_factor_kmin,0.2949417376,0.0146170639,0.6529146336,5361,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.000,magnetization_abs,1.4579186537,0.0042572603,0.6529146336,5361,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.000,acceptance_rate,0.5113229167,0.0008873701,0.5000000000,5361,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.000,binder,0.6654157479,0.0001180420,0.5000000000,5623,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.707850,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.000,xi_over_L,0.0339578486,0.0315857724,0.5000000000,5623,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.707850,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.000,susceptibility,0.2826728424,0.0232627104,0.5000000000,5623,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.707850,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.000,structure_factor_kmin,0.2719056250,0.0156290181,0.5000000000,5623,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.707850,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.000,magnetization_abs,1.4489308193,0.0028659054,0.5000000000,5623,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.707850,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.000,acceptance_rate,0.5092028356,0.0006758682,0.5000000000,5623,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.000000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.707850,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.050,binder,0.6614713491,0.0005584518,0.7942595877,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.659762,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.050,xi_over_L,0.0621247518,0.0295600636,0.7942595877,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.659762,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.050,susceptibility,0.2859247553,0.0288300321,0.7942595877,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.659762,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.050,structure_factor_kmin,0.2544589036,0.0117798544,0.7942595877,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.659762,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.050,magnetization_abs,1.4131648071,0.0072656071,0.7942595877,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.659762,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.050,acceptance_rate,0.5324537037,0.0017885208,0.5000000000,4887,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.659762,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.050,binder,0.6638551117,0.0002470744,0.6452470601,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.050,xi_over_L,0.0000000000,0.0237361524,0.6452470601,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.050,susceptibility,0.2675291784,0.0244487103,0.6452470601,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.050,structure_factor_kmin,0.2785621561,0.0127959342,0.6452470601,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.050,magnetization_abs,1.4049585917,0.0047508865,0.6452470601,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.050,acceptance_rate,0.4863509115,0.0012295744,0.5000000000,5149,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.763140,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.050,binder,0.6649246309,0.0001617078,0.6171782720,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.050,xi_over_L,0.0000000000,0.0227901105,0.6171782720,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.050,susceptibility,0.2607035714,0.0233155340,0.6171782720,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.050,structure_factor_kmin,0.2636471143,0.0110274626,0.6171782720,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.050,magnetization_abs,1.4149248059,0.0036693983,0.6171782720,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.050,acceptance_rate,0.5159791667,0.0007660634,0.5000000000,5411,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.050,binder,0.6652839341,0.0001049976,0.5000000000,5673,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.050,xi_over_L,0.0262712391,0.0271051912,0.5000000000,5673,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.050,susceptibility,0.2998585334,0.0234273974,0.5000000000,5673,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.050,structure_factor_kmin,0.2929161377,0.0105503780,0.5000000000,5673,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.050,magnetization_abs,1.4102645053,0.0029517394,0.5000000000,5673,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.050,acceptance_rate,0.5140190972,0.0006859453,0.5000000000,5673,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.050000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.100,binder,0.6604205104,0.0005763951,0.5886131947,4937,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.673158,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.100,xi_over_L,0.1060465909,0.0190376109,0.5886131947,4937,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.673158,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.100,susceptibility,0.3323665258,0.0308091946,0.5886131947,4937,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.673158,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.100,structure_factor_kmin,0.2443300252,0.0120456836,0.5886131947,4937,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.673158,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.100,magnetization_abs,1.3717490144,0.0067435477,0.5886131947,4937,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.673158,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.100,acceptance_rate,0.5270486111,0.0014552508,0.5000000000,4937,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.673158,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.100,binder,0.6629245116,0.0003366043,0.5000000000,5199,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.100,xi_over_L,0.1007677894,0.0207326696,0.5000000000,5199,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.100,susceptibility,0.3424572025,0.0245547542,0.5000000000,5199,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.100,structure_factor_kmin,0.2557927516,0.0133561280,0.5000000000,5199,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.100,magnetization_abs,1.3785296227,0.0047316675,0.5000000000,5199,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.100,acceptance_rate,0.5211979167,0.0009731350,0.5000000000,5199,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.100,binder,0.6642408749,0.0002530567,0.7180442986,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.100,xi_over_L,0.0827970330,0.0255398510,0.7180442986,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.100,susceptibility,0.3462039361,0.0343669632,0.7180442986,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.100,structure_factor_kmin,0.2807709859,0.0139238407,0.7180442986,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.100,magnetization_abs,1.3708964278,0.0045609747,0.7180442986,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.100,acceptance_rate,0.5197916667,0.0008027485,0.5000000000,5461,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.686826,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.100,binder,0.6652537103,0.0001260441,0.5047876426,5723,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.100,xi_over_L,0.0000000000,0.0194982696,0.5047876426,5723,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.100,susceptibility,0.2878480874,0.0294383542,0.5047876426,5723,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.100,structure_factor_kmin,0.3045967140,0.0164788490,0.5047876426,5723,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.100,magnetization_abs,1.3730177717,0.0029058342,0.5047876426,5723,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,12,n2.78_m1.000_lam1.100,acceptance_rate,0.5138845486,0.0007322139,0.5000000000,5723,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.100000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.200,binder,0.6581490561,0.0006400533,0.5731533792,5037,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.666427,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.200,xi_over_L,0.1169550469,0.0164882069,0.5731533792,5037,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.666427,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.200,susceptibility,0.3870266189,0.0283911317,0.5731533792,5037,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.666427,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.200,structure_factor_kmin,0.2690939031,0.0104461773,0.5731533792,5037,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.666427,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.200,magnetization_abs,1.2810081609,0.0071807638,0.5731533792,5037,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.666427,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,6,n2.78_m1.000_lam1.200,acceptance_rate,0.5361979167,0.0015585764,0.5000000000,5037,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.666427,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.200,binder,0.6629956713,0.0003115153,0.5000000000,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.200,xi_over_L,0.0279603961,0.0277128021,0.5000000000,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.200,susceptibility,0.2978248452,0.0230134336,0.5000000000,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.200,structure_factor_kmin,0.2902534940,0.0157045515,0.5000000000,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.200,magnetization_abs,1.2937382936,0.0044125692,0.5000000000,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,8,n2.78_m1.000_lam1.200,acceptance_rate,0.5213802083,0.0011208380,0.5000000000,5299,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.693764,4,5,shuffled
t_projected_direct_phi4_metropolis,fractional_proxy,10,n2.78_m1.000_lam1.200,binder,0.6638550219,0.0002252900,0.5000000000,5561,2.780000,1.780000,0.890000,0.000000,0.000000,t_projected_direct,1.000000,1.200000,shared,explicit_grid,adaptive_shuffled_multihit_metropolis,0.700772,4,5,shuffled
